symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url
DISCK,20910,Communication Services,9800,"Discovery, Inc., a media company, provides content across various distribution platforms in approximately 50 languages worldwide. It operates in two segments, U.S. Networks and International Networks. The company owns and operates various television networks under the Discovery Channel, HGTV, Food Network, TLC, Animal Planet, Investigation Discovery, Travel Channel, Science, MotorTrend, Discovery en EspaÃ±ol, Discovery Familia, Eurosport, TVN, Discovery Kids, Discovery Family, American Heroes Channel, Destination America, Discovery Life, DIY Network, Cooking Channel, Great American Country, ID, the Oprah Winfrey Network, Eurosport, DMAX, and Discovery Home & Health brands, as well as other regional television networks. Its content spans genres, including survival, natural history, exploration, sports, general entertainment, home, food, travel, heroes, adventure, crime and investigation, health, and kids. The company also operates production studios that develop and produce content; and digital products and Websites. It provides content through various distribution platforms comprising pay-television, free-to-air and broadcast television, authenticated GO applications, digital distribution arrangements, content licensing agreements, and direct-to-consumer subscriptions, as well as various platforms that include brand-aligned Websites, online streaming, mobile devices, video on demand, and broadband channels. The company was founded in 1985 and is headquartered in Silver Spring, Maryland.",Silver Spring,240-662-2000,MD,United States,[],http://corporate.discovery.com,1,8403 Colesville Road,Entertainment,0.35241002,0.09109,0.64165,2672999936,0.041,0.22309999,3799000064,32,hold,6859000000,5198499840,36,24.62,-0.62,1.867,0.04486,3,35.33,119.491,0.095,38,2174000128,15025999872,10780000256,3.321,USD,18.077,1.48,3,NMS,"Discovery, Inc. - Series C","Discovery, Inc.",America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_22666093,d2fbbd64-f9ef-32f0-8ee7-ad11ea07968c,us_market,,3.115,,8.84,,,3.27,,330145984,,,,16.5,15138860,0.03,,1609372800,0.90616995,878000000,1.117,,,1.4921212,0.04656,1672444800,,1617148800,2.13,1620950400,463947853,1.381521,33583382528,2,,1407369600,2:01,,,,-0.629,1.1991082,1623715200,0.52,,7.5290523,,0.0538,13571543,,,,23.76,23.93,28.794783,,0,,24.67,,2945585,23.76,25.558823,,23.93,,2945585,,,,,,,23.74,USD,22.041183,3781702,,,,12926387200,,,3399589,23.74,24.6,3000,3781702,66.7,,,17.34,24.61,FALSE,,4000,24.67,24.62,https://logo.clearbit.com/corporate.discovery.com
DISH,80112,Communication Services,13500,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless. It offers video services under the DISH TV brand; and programming packages that include programming through national broadcast networks, local broadcast networks, and national and regional cable networks, as well as regional and specialty sports channels, premium movie channels, and Latino and international programming packages. The company also provides access to movies and television shows through TV or Internet-connected devices; and dishanywhere.com and mobile applications on Internet-connected devices to view authorized content, search program listings, and remotely control certain features of their DVRs. In addition, it offers Sling TV services, including Sling domestic, Sling International, Sling Latino, Sling Orange, and Sling Blue services that require an Internet connection and are available on streaming-capable devices, such as streaming media devices, TVs, tablets, computers, game consoles, and phones primarily to consumers who do not subscribe to traditional satellite and cable pay-TV services. As of December 31, 2020, it had 11.290 million Pay-TV subscribers in the United States, including 8.816 million DISH TV subscribers and 2.474 million SLING TV subscribers. The company offers receiver systems and programming through direct sales channels, as well as independent third parties, such as small retailers, direct marketing groups, local and regional consumer electronics stores, retailers, and telecommunications companies. DISH Network Corporation was founded in 1980 and is headquartered in Englewood, Colorado.",Englewood,303-723-1000,CO,United States,[],http://www.dish.com,1,9601 South Meridian Boulevard,Entertainment,0.24038,0.14045,0.34747002,3852779008,0.408,0.19765,4344584192,28,buy,5459707000,1072025600,51,42.32,0.359,1.636,0.06107,16,53.44,112.366,0.19041,88,4829289984,16546690048,18073769984,9.148,USD,34.33,1.438,2.4,NMS,DISH Network Corporation,DISH Network Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_110001,f712f064-807c-3b14-8fbe-7d0a950d9f07,us_market,,1.974,,8.213,,,2.72,,289268992,,,,25.908,26005404,0.0493,,1609372800,0.87782997,2538501888,3.877,,,1.6334722,0.14294,1672444800,,1625011200,15.24,1628812800,247923184,2.105291,35681652736,2,,953769600,2:01,,,,0.483,1.2356291,1631664000,-0.55,,15.558824,,0.12149999,27559161,,,,42.87,42.87,42.3,,0,,43.1,,1617571,42.87,43.77206,,42.87,,1617571,,,,1355270400,,,42.21,USD,10.915656,1836230,,,,22332475392,,,1773965,42.21,42.42,800,1836230,47.05,,,24.51,42.31,FALSE,,800,43.1,42.32,https://logo.clearbit.com/dish.com
DLR,78735,Real Estate,2878,"Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center, colocation and interconnection solutions. PlatformDIGITALR, the company's global data center platform, provides customers a trusted foundation and proven Pervasive Datacenter Architecture PDxTM solution methodology for scaling digital business and efficiently managing data gravity challenges. Digital Realty's global data center footprint gives customers access to the connected communities that matter to them with more than 284 facilities in 48 metros across 23 countries on six continents.",Austin,737-281-0101,TX,United States,[],http://www.digitalrealty.com,1,5707 Southwest Parkway,REIT—Office,0.50845003,0.13045,0.61477,1844093056,0.162,0.18546,2201071104,145,buy,2331864000,1333457792,169,144.33,1.25,0.75,0.01433,21,166.14,84.992,0.0322,200,120482000,15473510400,4328967168,0.426,USD,15.55,0.746,2.2,NYQ,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_11041860,e92c1262-a58b-39ab-9cb6-5c043b4717ed,us_market,,13.469,,26.49,,,1.66,,281588000,,,,59.255,11197819,0.0395,,1609372800,0.96616,506582016,1.562,,,2.4357438,0.00172,1672444800,,1625011200,7.95,1628812800,282056500,0.1381,58306211840,2,,,,,,,0.62,9.388289,1631664000,2.64,,86.945786,,0.0466,7153523,,,,141.87,142.13,153.12856,0.031860154,2.6358,,144.41,,1264142,141.87,154.14146,4.52,142.13,,1264142,,,4.64,1631577600,,,141.48,USD,92.400764,1499045,,,,40641597440,,,1257143,141.48,146,900,1499045,168.3,,3.31,124.65,139.5,FALSE,0.031600002,1000,144.41,144.33,https://logo.clearbit.com/digitalrealty.com
DLTR,23320,Consumer Defensive,60217,"Dollar Tree, Inc. operates discount variety retail stores. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00. It provides consumable merchandise, including candy and food, and health and personal care, as well as everyday consumables, such as household paper and chemicals, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. This segment operates 7,805 stores under the Dollar Tree and Dollar Tree Canada brands, as well as 15 distribution centers in the United States and two in Canada; and store support centers in Matthews, North Carolina and Chesapeake, Virginia. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home dÃ©cor, and giftware, as well as domestics, such as comforters, sheets, and towels. Its stores also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. This segment operates 7,880 stores under the Family Dollar brand; and 11 distribution centers. The company was founded in 1986 and is headquartered in Chesapeake, Virginia.",Chesapeake,757 321 5000,VA,United States,[],http://www.dollartree.com,1,500 Volvo Parkway,Discount Stores,0.11552,0.057150003,0.31113002,2313499904,0.031,0.088520005,2968999936,90,hold,7824600000,1164637440,109,97.37,0.538,1.359,0.06849,22,108.05,130.646,0.21084999,131,1473900032,9682599936,25702199296,6.354,USD,109.15,0.378,2.6,NMS,"Dollar Tree, Inc.","Dollar Tree, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_27685,93813a67-1334-34e6-a70f-a46e06dc4100,us_market,,1.246,,10.786,,,6.83,,231954000,,,,31.973,4897716,0.0211,,1611964800,0.90481,1468800000,6.21,,,3.0453823,0.012970001,1675036800,,1619827200,2.73,1625011200,228801619,0.855298,32023404544,2,,1340755200,2:01,,,,0.513,0.8787327,1627603200,2.19,,14.256223,,0.0239,5632660,,,,98.1,97.56,102.42058,,0,,98.6,,3091757,98.1,92.411766,,97.56,,3091757,,,,,,,97.17,USD,15.679549,1609072,,,,22585362432,,,3606564,97.17,97.35,1100,1609072,120.37,,,84.26,97.36,FALSE,,1800,98.6,97.37,https://logo.clearbit.com/dollartree.com
DOV,60515,Industrials,23000,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide. The Engineered Products segment provides aftermarket vehicle, solid waste handling, industrial automation, aerospace and defense, industrial winch and hoist, bearings, drives, electric monitoring, and fluid dispensing systems. This segment also offers manual and power clamps, rotary and linear mechanical indexers, conveyors, pick and place units, glove ports, and manipulators, as well as end-of-arm robotic grippers, slides, and end effectors. The Fueling Solutions segment transports fuels and other hazardous fluids, as well as operates retail fueling and vehicle wash establishments. The Imaging and Identification segment provides precision marking and coding; product traceability equipment; and digital textile printing equipment, as well as related consumables, software, and services. The Pumps and Process Solutions segment manufactures specialty pumps, fluid handling components, plastics and polymer processing equipment, and engineered components for rotating and reciprocating machines. This segment also manufactures pumps that are used to transfer liquid and bulk products in various markets, including plastics and polymers processing, chemicals production, food/sanitary, biopharma, medical, transportation, petroleum refining, power generation and general industrial applications. The Refrigeration & Food Equipment segment manufactures refrigeration systems, refrigeration display cases, commercial glass refrigerators and freezer doors, and brazed plate heat exchangers for industrial heating and cooling, and residential climate control applications; and commercial food service equipment and can-shaping machinery. The company sells its products directly and through a network of distributors. Dover Corporation was incorporated in 1947 and is headquartered in Downers Grove, Illinois.",Downers Grove,630-541-1540,IL,United States,[],http://www.dovercorporation.com,1,3005 Highland Parkway,Specialty Industrial Machinery,0.2038,0.11842,0.37995997,1194395008,0.355,0.16503,1513891968,165,buy,2492914000,846126144,179,157.38,1.116,1.609,0.081750005,11,181.18,82.898,0.25839,196,601358976,3083246080,7428222976,4.177,USD,51.612,1.015,2.3,NYQ,Dover Corporation,Dover Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_174901,60aa4a96-8158-3a27-a662-dbc1f27c9bbb,us_market,,3.421,,16.788,,,7.6,,143927008,,,,24.312,1252540,0.0087,,1609372800,0.86588997,879683008,5.099,,,6.4733467,0.00934,1672444800,,1625011200,1.68,1628812800,143146114,1.370087,25414862848,2,,1525824000,1238:1000,,,,1.12,3.0493474,1631664000,1.6,,20.707895,,0.0098,1498841,,,,157.09,157.47,156.30269,0.012572411,0.32669997,,158.22,,634100,157.09,165.72235,1.975,157.47,,634100,,,2,1630281600,,,156.38,USD,30.864876,544645,,,,22651232256,,,822487,156.38,157.57,800,544645,176.46,,1.96,108,157.12,FALSE,0.0126,900,158.22,157.38,https://logo.clearbit.com/dovercorporation.com
DPZ,48105,Consumer Cyclical,6900,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain. The company offers pizzas under the Domino's brand name through company-owned and franchised stores. As of July 15, 2021, the company operated 18,000 stores. The company was founded in 1960 and is based in Ann Arbor, Michigan.",Ann Arbor,734 930 3030,MI,United States,[],http://www.dominos.com/index.intl.html,1,30 Frank Lloyd Wright Drive,Restaurants,0.19135,0.111829996,0.27772,676380992,0.122,0.18055001,830555008,410,buy,1132255000,469627136,535,476.28,0.023,1.769,0.29653,27,535.78,,,625,292095008,5314001920,4340455936,7.926,USD,112.402,0.953,2.4,NYQ,Domino's Pizza Inc,"Domino's Pizza, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_3132512,c7ed77fd-b37c-3112-8a9e-da2f683bd945,us_market,,5.45,,28.48,,,14.93,,38828400,,,,-83.365,1546304,0.042,,1609632000,0.99386,485406016,12.321,,,,0.00706,1672704000,,1624147200,4.31,1627603200,34544189,0.47762,23653922816,2,,,,,,,-0.017,4.2606564,1630368000,3.09,,31.90087,,0.0544,1738332,,,,480.05,479.72,464.1299,0.006832622,0.2774,,480.455,,411114,480.05,498.47,3.28,479.72,,411114,,,3.76,1631577600,,,474.03,USD,38.655952,626037,,,,18493190144,,,452128,474.03,483.59,1100,626037,548.72,,0.83,319.71,479,FALSE,0.0074,1000,480.455,476.28,https://logo.clearbit.com/dominos.com
DRE,46240,Real Estate,350,Duke Realty Corporation owns and operates approximately 159 million rentable square feet of industrial assets in 20 major logistics markets. Duke Realty Corporation is publicly traded on the NYSE under the symbol DRE and is a member of the S&P 500 Index.,Indianapolis,317-808-6000,IN,United States,[],http://www.dukerealty.com,1,8711 River Crossing Boulevard,REIT—Industrial,0.58036,0.33688998,0.69988996,602028032,0.279,0.28555,619864000,50,buy,720410000,488554240,55,52.35,3.074,1.158,0.021329999,15,55.8,68.701,0.07063,66,9009000,3613093120,1068072000,0.024,USD,2.876,1.091,2.1,NYQ,Duke Realty Corporation,Duke Realty Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_267906,669bebfe-442e-34d2-8a07-6605f0c3a631,us_market,,21.096,,36.349,,,0.75,,374984992,,,,13.842,4850425,0.0129,,1609372800,1.00289,358296000,0.963,,,3.7819679,0.00144,1672444800,,1617148800,2.42,1619740800,374257799,0.525543,22531559424,2,,872553600,2:01,,,,3.079,18.379345,1622160000,8.2,,69.799995,,0.021,4982889,,,,51.55,51.4,48.288044,0.019398643,1.0208,,52.42,,1798214,51.55,50.449116,1,51.4,,1798214,,,1.02,1620864000,,,51.44,USD,54.36137,995447,,,,19630462976,,,1592775,51.44,52.32,1000,995447,53.73,,2.66,36.8,47,FALSE,0.021300001,800,52.42,52.35,https://logo.clearbit.com/dukerealty.com
DRI,32837,Consumer Cyclical,156883,"Darden Restaurants, Inc., through its subsidiaries, owns and operates full-service restaurants in the United States and Canada. As of May 30, 2021, it owned and operated 1,834 restaurants, which included 875 under the Olive Garden, 533 under the LongHorn Steakhouse, 170 under the Cheddar's Scratch Kitchen, 81 under the Yard House, 63 under The Capital Grille, 44 under the Seasons 52, 42 under the Bahama Breeze, and 26 under the Eddie V's Prime Seafood brands. The company was founded in 1968 and is based in Orlando, Florida.",Orlando,407 245 4000,FL,United States,[],http://www.darden.com,1,1000 Darden Center Drive,Restaurants,0.1363,0.08745,0.20753999,1194000000,0.795,0.09106,980800000,135,buy,1493500000,511012512,163.5,149.57,,1.012,0.03976,26,161.71,204.682,0.24586001,191.57,1214700032,5757899776,7196100096,9.289,USD,55.185,0.692,2.1,NYQ,"Darden Restaurants, Inc.","Darden Restaurants, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_336160,19cb3c7b-5f7b-3bfc-b2af-6a8d397bf76d,us_market,,3.124,,22.92,,,7.21,,130843000,,,,19.684,5530515,0.0424,,1622332800,0.92364997,632400000,-1.703,,,7.5985575,0.00383,1685404800,,1622332800,3.14,1625011200,130161214,1.540075,22479923200,2,,1447113600,10000:8939,,,,,2.7195547,1627603200,0.69,,20.7448,,0.0477,2871962,,,,152.19,152.79,144.52254,0.004402392,0.3229,,152.79,,1003471,152.19,151.95088,0.67,152.79,,1003471,,,2.65,1625702400,,,148.6125,USD,,1367803,,,,19570188288,,,1455389,148.6125,153.28,1100,1367803,164.28,,2.57,89.34,147,FALSE,0.019299999,800,152.79,149.57,https://logo.clearbit.com/darden.com
DTE,48226-1279,Utilities,10600,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and other renewable assets. This segment owns and operates approximately 698 distribution substations and 445,800 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 20,000 miles of distribution mains; 1,308,000 service pipelines; and 1,305,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its Gas Storage and Pipelines segment owns natural gas storage fields, lateral and gathering pipeline systems, and compression and surface facilities, as well as has ownership interests in interstate pipelines serving the Gulf Coast, Midwest, Ontario, and northeast markets. The company's Power and Industrial Projects segment offers metallurgical coke; pulverized coal and petroleum coke to the steel, pulp and paper, and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. It also owns and operates 5 renewable generating plants with a capacity of 139 MWs; 22 gas recovery sites; and 10 reduced emissions fuel facilities. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is headquartered in Detroit, Michigan.",Detroit,313-235-4000,MI,United States,[],http://newlook.dteenergy.com,1,One Energy Plaza,Utilities—Regulated Electric,0.22976999,0.097720005,0.28948998,3932000000,0.25,0.14581001,3120000000,108,buy,3874000000,-1345124992,127.5,113.97,-0.361,1.713,0.02651,16,127.7,184.52,0.108710006,146,3448000000,23136999424,13578999808,17.796,USD,70.176,1.379,2.4,NYQ,DTE Energy Company,DTE Energy Company,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_266598,4ecdc022-f62f-363d-a864-478a09d23b8a,us_market,,3.076,,13.388,,,7.26,,193727008,,,,64.792,2367419,0.012200001,,1609372800,0.74461997,1324999936,7.359,,,1.7590135,0.00609,1672444800,,1625011200,2.78,1628812800,192426293,0.633187,41769111552,2,,1625097600,1175:1000,,,,-0.354,1.6259716,1631664000,7.75,,15.698347,,0.015800001,1862784,,,,112.8,112.91,116.83951,0.037207447,0.62299997,,114.17,,896928,112.8,116.36029,4.197,112.91,,896928,,,3.3,1631836800,,,112.09,USD,15.487159,709795,,,,22079068160,,,995179,112.09,116.52,1000,709795,123.77021,,3.18,98.451065,113.4,FALSE,0.0292,800,114.17,113.97,https://logo.clearbit.com/newlook.dteenergy.com
DUK,28202-1803,Utilities,27535,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through three segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Commercial Renewables. The Electric Utilities and Infrastructure segment generates, transmits, distributes, and sells electricity in the Carolinas, Florida, and the Midwest; and uses coal, hydroelectric, natural gas, oil, renewable sources, and nuclear fuel to generate electricity. It also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and load-serving entities. This segment serves approximately 7.9 million retail electric customers in 6 states in the Southeast and Midwest regions of the United States covering a service territory of approximately 91,000 square miles; and owns approximately 50,807 megawatts (MW) of generation capacity. The Gas Utilities and Infrastructure segment distributes natural gas to residential, commercial, industrial, and power generation natural gas customers; and owns, operates, and invests in pipeline transmission and natural gas storage facilities. It has approximately 1.6 million customers, including 1.1 million customers in North Carolina, South Carolina, and Tennessee, as well as 541,000 customers in southwestern Ohio and northern Kentucky. The Commercial Renewables segment acquires, owns, develops, builds, and operates wind and solar renewable generation projects, including nonregulated renewable energy and energy storage services to utilities, electric cooperatives, municipalities, and commercial and industrial customers. It has 21 wind, 150 solar, and 2 battery storage facilities, as well as 11 fuel cell locations with a capacity of 2,282 MW across 19 states. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2005. The company was incorporated in 2005 and is headquartered in Charlotte, North Carolina.",Charlotte,704-382-3853,NC,United States,[],http://www.duke-energy.com,1,550 South Tryon Street,Utilities—Regulated Electric,0.47197,0.124960005,0.49823,9372000256,0.062,0.23905,11322999808,96,hold,11596000000,-1459124992,109,100.7,,0.554,0.022030002,17,108.21,135.295,0.05649,118,419000000,67031998464,23990999040,0.545,USD,31.797,0.216,2.6,NYQ,Duke Energy Corporation (Holdin,Duke Energy Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_267850,287ba1fd-2a9f-3c6f-b4a3-3d43e46d3ee9,us_market,,6.183,,13.101,,,5.45,,769217024,,,,59.821,7146030,0.0093,,1609372800,0.6377,2883000064,1.719,,,1.6833553,0.00106,1672444800,,1625011200,2.56,1628812800,768114351,0.280952,1.48E+11,2,,1341273600,1:03,,,,,3.2287173,1631664000,3.76,,18.477064,,0.0093,7540604,,,,99.82,99.84,101.79152,0.038268883,1.0131,,100.75,,2671800,99.82,101.57147,3.82,99.84,,2671800,,,3.94,1628726400,,,99.05,USD,58.58057,1715461,,,,77460152320,,,2852262,99.05,100.9,800,1715461,108.38,,4.2,85.56,100.62,FALSE,0.0387,1100,100.75,100.7,https://logo.clearbit.com/duke-energy.com
DVA,80202,Healthcare,67000,"DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure or end stage renal disease (ESRD). The company operates kidney dialysis centers and provides related lab services in outpatient dialysis centers. It also provides outpatient, hospital inpatient, and home-based hemodialysis services; owns clinical laboratories that provide routine laboratory tests for dialysis and other physician-prescribed laboratory tests for ESRD patients; and management and administrative services to outpatient dialysis centers. In addition, the company provides disease management services; vascular access services; clinical research programs; physician services; and comprehensive care services. As of December 31, 2020, it provided dialysis and administrative services in the United States through a network of 2,816 outpatient dialysis centers serving approximately 204,200 patients; and operated 321 outpatient dialysis centers located in 10 countries outside of the United States serving approximately 36,700 patients. Further, the company provides acute inpatient dialysis services in approximately 900 hospitals and related laboratory services in the United States. The company was formerly known as DaVita HealthCare Partners Inc. and changed its name to DaVita Inc. in September 2016. DaVita Inc. was incorporated in 1994 and is headquartered in Denver, Colorado.",Denver,720 631 2100,CO,United States,[],http://www.davita.com,1,2000 16th Street,Medical Care Facilities,0.20633,0.07467,0.31417,1801560960,0.013,0.1498,2386375936,113,hold,3561991000,602506240,132,109.96,0.63,1.667,0.05835,8,142.88,418.56,0.34467,207,1080333056,12092362752,11565898752,10.309,USD,103.399,1.522,3,NYQ,DaVita Inc.,DaVita Inc.,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_35644,9a98f945-67ed-31a1-b380-e8d4ee6cc270,us_market,,2.277,,11.034,,,9.6,,106200000,,,,11.656,2457232,0.0235,,1609372800,0.90279996,883302976,6.469,,,9.433768,0.02974,1672444800,,1625011200,3.7,1626307200,101727264,1.274341,26332174336,2,,1378684800,2:01,,,,0.457,1.009671,1628812800,0.84,,11.454166,,0.036,2248208,,,,110.74,110.5,121.0921,,0,,110.91,,686114,110.74,122.62029,,110.5,,686114,,,,,,,109.48,USD,16.997992,691299,,,,11677752320,,,638164,109.48,109.83,1400,691299,136.48,,,84.14,109.23,FALSE,,900,110.91,109.96,https://logo.clearbit.com/davita.com
DVN,73102-5015,Energy,1400,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 3,942 gross wells. Devon Energy Corporation was founded in 1971 and is headquartered in Oklahoma City, Oklahoma.",Oklahoma City,405 235 3611,OK,United States,[],http://www.devonenergy.com,1,333 West Sheridan Avenue,Oil & Gas E&P,0.26556998,0.03481,0.48937,2534000128,2.943,0.059369996,2098000000,31,buy,1557000000,2168624896,38,38.99,,1.001,0.019270001,31,38.16,79.566,0.050640002,47,1348000000,6791000064,7900000256,1.991,USD,15.236,0.838,1.8,NYQ,Devon Energy Corporation,Devon Energy Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_266510,d14cc3ae-fc64-3a70-b4ac-a4ab70fd9067,us_market,,3.305,,12.446,,,3.1,,676899968,,,,12.375,19925700,0.0294,,1609372800,0.88883,279000000,-1.487,,,3.1507072,0.00854,1672444800,,1625011200,2.09,1627603200,631837330,3.37227,26112409600,2,,1100563200,2:01,,,,,3.3408012,1630368000,0.41,,12.57742,,0.0296,14583214,,,,39.25,38.58,27.68587,0.011210191,2.0952,,39.37,,14258000,39.25,32.407646,0.44,38.58,,14258000,,,0.44,1631232000,,,38.05,USD,,7493485,,,,26392330240,,,11458300,38.05,39.36,2200,7493485,40.86,,1.54,7.73,38.99,FALSE,0.014500001,1100,39.37,38.99,https://logo.clearbit.com/devonenergy.com
